rank,building_id,composite_score,completeness_pct,site_id,building_type,selected_as_source
321,Rat_public_Carole,79.43,99.46,Rat,Public services,False
322,Rat_public_Laurie,79.43,99.3,Rat,Public services,False
323,Rat_public_Angelina,79.43,99.57,Rat,Public services,False
324,Rat_public_Faye,79.42,99.43,Rat,Public services,False
325,Rat_public_Sade,79.42,99.42,Rat,Public services,False
326,Fox_education_Melvin,79.42,99.44,Fox,Education,False
327,Rat_parking_Ronnie,79.42,99.66,Rat,Parking,False
328,Rat_health_Rosaria,79.42,99.69,Rat,Healthcare,False
329,Rat_assembly_Adolfo,79.41,99.84,Rat,Entertainment/public assembly,False
330,Robin_education_Billi,79.41,100.0,Robin,Education,False
331,Rat_other_Hazel,79.41,99.7,Rat,Other,False
332,Bear_education_Alfredo,79.4,99.69,Bear,Education,False
333,Fox_education_Eddy,79.4,99.98,Fox,Education,False
334,Rat_public_Nancy,79.4,99.52,Rat,Public services,False
335,Rat_public_Laverne,79.4,99.72,Rat,Public services,False
336,Peacock_education_Joshua,79.4,99.47,Peacock,Education,False
337,Rat_public_Allie,79.39,99.83,Rat,Public services,False
338,Peacock_education_Anita,79.39,99.77,Peacock,Education,False
339,Eagle_education_Brooke,79.39,99.78,Eagle,Education,False
